,keyword_source,full_name,html_url,create_date,update_date,pushed_date,language,stars,forks,watchers,open_issues,is_fork,topics,description,included_libraries,require_list,source_type,cluster,year,update_year,text
10,"""artificial intelligence"" OR ""computer vision"" OR ""deep learning"" OR ""machine learning"" OR ""image recognition""",liquidg3/Camerafeed,https://github.com/liquidg3/Camerafeed,2016-03-29T17:57:28+00:00,2024-10-28T11:21:55+00:00,2022-02-14T21:36:58+00:00,Python,33.0,18.0,33.0,4.0,FALSE,[],A computer vision based Pedestrian + Tripwire system.,"configparser, grequests, shapely","['configparser', 'grequests', 'imutils', 'shapely']",setup,3,2016,2024,A computer vision based Pedestrian + Tripwire system. []
11,"""artificial intelligence"" OR ""computer vision"" OR ""deep learning"" OR ""machine learning"" OR ""image recognition""",JohnVinyard/zounds,https://github.com/JohnVinyard/zounds,2016-03-23T01:55:04+00:00,2024-12-12T20:02:37+00:00,2022-12-08T00:34:47+00:00,Python,24.0,6.0,24.0,27.0,FALSE,"['processing-pipelines', 'sound', 'numpy', 'audio', 'signal-processing', 'machine-learning', 'dsp']",Zounds is a dataflow library for building directed acyclic graphs that transform audio. It uses the featureflow library to define the processing pipelines.,"certifi, matplotlib, nose, numpy, pysoundfile, requests, scipy, torch, tornado, ujson, unittest2","['argparse', 'certifi', 'featureflow', 'matplotlib', 'nose', 'numpy', 'pysoundfile', 'requests', 'scipy', 'torch', 'tornado', 'ujson', 'unittest2']",both,12,2016,2024,"Zounds is a dataflow library for building directed acyclic graphs that transform audio. It uses the featureflow library to define the processing pipelines. ['processing-pipelines', 'sound', 'numpy', 'audio', 'signal-processing', 'machine-learning', 'dsp']"
12,"""artificial intelligence"" OR ""computer vision"" OR ""deep learning"" OR ""machine learning"" OR ""image recognition""",utiasSTARS/pykitti,https://github.com/utiasSTARS/pykitti,2016-04-12T18:29:44+00:00,2025-05-15T09:15:09+00:00,2023-10-16T05:06:19+00:00,Python,1199.0,243.0,1199.0,26.0,FALSE,"['kitti-dataset', 'computer-vision', 'robotics', 'python']",Python tools for working with KITTI data.,"matplotlib, numpy, pandas, pillow","['matplotlib', 'numpy', 'pandas', 'pillow']",setup,12,2016,2025,"Python tools for working with KITTI data. ['kitti-dataset', 'computer-vision', 'robotics', 'python']"
13,"""artificial intelligence"" OR ""computer vision"" OR ""deep learning"" OR ""machine learning"" OR ""image recognition""",deepmedic/deepmedic,https://github.com/deepmedic/deepmedic,2016-04-26T18:23:31+00:00,2025-05-18T04:40:16+00:00,2024-08-04T12:23:09+00:00,Python,1043.0,346.0,1043.0,23.0,FALSE,"['deep-learning', 'machine-learning', 'medical-imaging', 'neural-networks', 'convolutional-neural-networks']",Efficient Multi-Scale 3D Convolutional Neural Network for Segmentation of 3D Medical Scans,"nibabel, numpy, pandas, scipy, six","['nibabel', 'numpy', 'pandas', 'scipy', 'six']",setup,10,2016,2025,"Efficient Multi-Scale 3D Convolutional Neural Network for Segmentation of 3D Medical Scans ['deep-learning', 'machine-learning', 'medical-imaging', 'neural-networks', 'convolutional-neural-networks']"
14,"""artificial intelligence"" OR ""computer vision"" OR ""deep learning"" OR ""machine learning"" OR ""image recognition""",cmusphinx/g2p-seq2seq,https://github.com/cmusphinx/g2p-seq2seq,2016-04-25T12:53:41+00:00,2025-05-09T16:26:11+00:00,2024-07-29T10:50:34+00:00,Python,674.0,192.0,674.0,46.0,FALSE,"['g2p-seq2seq', 'g2p', 'cmudict']",G2P with Tensorflow,tensor2tensor,['tensor2tensor'],setup,5,2016,2025,"G2P with Tensorflow ['g2p-seq2seq', 'g2p', 'cmudict']"
15,"""artificial intelligence"" OR ""computer vision"" OR ""deep learning"" OR ""machine learning"" OR ""image recognition""",jbaiter/zotero-cli,https://github.com/jbaiter/zotero-cli,2016-04-24T10:42:29+00:00,2025-04-22T02:48:29+00:00,2024-05-15T18:10:44+00:00,Python,284.0,41.0,284.0,26.0,FALSE,[],Command-line interface for Zotero,setuptools-git,['setuptools-git'],setup,11,2016,2025,Command-line interface for Zotero []
16,"""artificial intelligence"" OR ""computer vision"" OR ""deep learning"" OR ""machine learning"" OR ""image recognition""",mead-ml/mead-baseline,https://github.com/mead-ml/mead-baseline,2016-04-24T14:23:02+00:00,2025-01-21T04:00:37+00:00,2023-10-13T19:42:21+00:00,Python,243.0,73.0,243.0,13.0,FALSE,"['deep-learning', 'nlp', 'pytorch', 'tensorflow', 'keras', 'seq2seq', 'convolutional-neural-networks', 'recurrent-neural-networks', 'language-model', 'visdom', 'classification', 'deep-learning-architectures', 'baseline', 'nlp-tasks', 'transformers', 'bert', 'experimentation', 'machine-learning', 'hacktoberfest']",Deep-Learning Model Exploration and Development for NLP,"numpy, six","['mead-layers', 'numpy', 'six']",setup,1,2016,2025,"Deep-Learning Model Exploration and Development for NLP ['deep-learning', 'nlp', 'pytorch', 'tensorflow', 'keras', 'seq2seq', 'convolutional-neural-networks', 'recurrent-neural-networks', 'language-model', 'visdom', 'classification', 'deep-learning-architectures', 'baseline', 'nlp-tasks', 'transformers', 'bert', 'experimentation', 'machine-learning', 'hacktoberfest']"
17,"""artificial intelligence"" OR ""computer vision"" OR ""deep learning"" OR ""machine learning"" OR ""image recognition""",QUVA-Lab/artemis,https://github.com/QUVA-Lab/artemis,2016-04-29T09:58:50+00:00,2025-02-15T13:31:11+00:00,2024-03-08T22:54:11+00:00,Python,238.0,29.0,238.0,25.0,FALSE,[],"Artemis aims to get rid of all the boring, bureaucratic coding (plotting, file management, organizing experiments, etc) involved in machine learning projects, so you can get to the good stuff quickly.","enum34, matplotlib, numpy, pillow, pytest, scipy, tabulate","['enum34', 'matplotlib', 'netifaces', 'numpy', 'paramiko', 'pillow', 'pytest', 'scipy', 'si-prefix', 'six', 'tabulate']",both,12,2016,2025,"Artemis aims to get rid of all the boring, bureaucratic coding (plotting, file management, organizing experiments, etc) involved in machine learning projects, so you can get to the good stuff quickly. []"
18,"""artificial intelligence"" OR ""computer vision"" OR ""deep learning"" OR ""machine learning"" OR ""image recognition""",douban/tfmesos,https://github.com/douban/tfmesos,2016-04-18T06:44:24+00:00,2024-04-04T15:47:12+00:00,2023-03-24T21:54:14+00:00,Python,191.0,48.0,191.0,5.0,FALSE,"['tensorflow', 'mesos', 'nvidia-docker', 'machine-learning', 'distributed', 'deep-learning', 'deep-neural-networks', 'ml', 'neural-network', 'docker']",Tensorflow in Docker on Mesos #tfmesos #tensorflow #mesos,"addict, six","['addict', 'funcsigs', 'http-parser', 'mock', 'numpy', 'pbr', 'protobuf', 'pymesos', 'six', 'tensorflow-gpu', 'zkpython']",both,12,2016,2024,"Tensorflow in Docker on Mesos #tfmesos #tensorflow #mesos ['tensorflow', 'mesos', 'nvidia-docker', 'machine-learning', 'distributed', 'deep-learning', 'deep-neural-networks', 'ml', 'neural-network', 'docker']"
19,"""artificial intelligence"" OR ""computer vision"" OR ""deep learning"" OR ""machine learning"" OR ""image recognition""",Rambatino/CHAID,https://github.com/Rambatino/CHAID,2016-04-14T17:34:11+00:00,2025-04-26T18:37:33+00:00,2024-07-22T08:32:54+00:00,Python,158.0,55.0,158.0,0.0,FALSE,"['tree', 'spss', 'chaid', 'marketing-statistics', 'stats']",A python implementation of the common CHAID algorithm,"cython, numpy, pandas, scipy, treelib","['2-7', 'cython', 'numpy', 'pandas', 'scipy', 'treelib']",setup,0,2016,2025,"A python implementation of the common CHAID algorithm ['tree', 'spss', 'chaid', 'marketing-statistics', 'stats']"
20,"""artificial intelligence"" OR ""computer vision"" OR ""deep learning"" OR ""machine learning"" OR ""image recognition""",thodan/obj_pose_eval,https://github.com/thodan/obj_pose_eval,2016-04-20T00:24:53+00:00,2023-06-04T08:50:07+00:00,2020-10-30T15:38:22+00:00,Python,76.0,20.0,76.0,0.0,FALSE,[],Tools for evaluation of 6D object pose estimation.,"glumpy, matplotlib, numpy, scipy","['glumpy', 'matplotlib', 'numpy', 'scipy']",setup,3,2016,2023,Tools for evaluation of 6D object pose estimation. []
21,"""artificial intelligence"" OR ""computer vision"" OR ""deep learning"" OR ""machine learning"" OR ""image recognition""",sigopt/sigopt-sklearn,https://github.com/sigopt/sigopt-sklearn,2016-04-15T20:58:39+00:00,2024-04-29T21:26:03+00:00,2023-08-22T20:43:23+00:00,Python,75.0,11.0,75.0,3.0,FALSE,[],SigOpt wrappers for scikit-learn methods,"joblib, numpy, scikit-learn","['joblib', 'numpy', 'scikit-learn', 'sigopt']",both,0,2016,2024,SigOpt wrappers for scikit-learn methods []
22,"""artificial intelligence"" OR ""computer vision"" OR ""deep learning"" OR ""machine learning"" OR ""image recognition""",wang502/Toptal-API,https://github.com/wang502/Toptal-API,2016-05-21T03:52:00+00:00,2024-06-26T10:09:08+00:00,2021-02-08T20:29:57+00:00,Python,61.0,4.0,61.0,3.0,FALSE,[],:computer: Command line interface to read engineering blogs from http://toptal.com/blog,"bs4, click, httplib2","['argparse', 'bs4', 'click', 'httplib2']",both,11,2016,2024,:computer: Command line interface to read engineering blogs from http://toptal.com/blog []
23,"""artificial intelligence"" OR ""computer vision"" OR ""deep learning"" OR ""machine learning"" OR ""image recognition""",kundajelab/deeplift,https://github.com/kundajelab/deeplift,2016-06-01T02:18:06+00:00,2025-05-16T06:01:22+00:00,2022-04-28T10:04:52+00:00,Python,856.0,169.0,856.0,43.0,FALSE,"['deeplift', 'sensitivity-analysis', 'integrated-gradients', 'guided-backpropagation', 'saliency-map', 'interpretable-deep-learning', 'interpretability']",Public facing deeplift repo,numpy,['numpy'],setup,10,2016,2025,"Public facing deeplift repo ['deeplift', 'sensitivity-analysis', 'integrated-gradients', 'guided-backpropagation', 'saliency-map', 'interpretable-deep-learning', 'interpretability']"
24,"""artificial intelligence"" OR ""computer vision"" OR ""deep learning"" OR ""machine learning"" OR ""image recognition""",yahoo/graphkit,https://github.com/yahoo/graphkit,2016-06-17T23:41:57+00:00,2025-03-26T08:32:16+00:00,2023-03-21T02:49:20+00:00,Python,86.0,19.0,86.0,21.0,FALSE,"['python', 'computer-vision', 'machine-learning']",A lightweight Python module for creating and running ordered graphs of computations.,networkx,['networkx'],setup,0,2016,2025,"A lightweight Python module for creating and running ordered graphs of computations. ['python', 'computer-vision', 'machine-learning']"
25,"""artificial intelligence"" OR ""computer vision"" OR ""deep learning"" OR ""machine learning"" OR ""image recognition""",GiulioRossetti/TILES,https://github.com/GiulioRossetti/TILES,2016-06-03T14:00:29+00:00,2025-01-24T02:03:28+00:00,2024-02-12T18:32:12+00:00,Python,59.0,20.0,59.0,7.0,FALSE,"['network-science', 'community-discovery', 'community-detection-algorithm', 'dynamic-networks']",TILES: an algorithm for community discovery in dynamic social networks,"future, networkx","['future', 'networkx', 'pytest']",both,7,2016,2025,"TILES: an algorithm for community discovery in dynamic social networks ['network-science', 'community-discovery', 'community-detection-algorithm', 'dynamic-networks']"
26,"""artificial intelligence"" OR ""computer vision"" OR ""deep learning"" OR ""machine learning"" OR ""image recognition""",sonidosmutantes/apicultor,https://github.com/sonidosmutantes/apicultor,2016-06-30T15:14:49+00:00,2022-12-08T03:11:57+00:00,2022-01-13T22:50:24+00:00,Python,19.0,5.0,19.0,12.0,FALSE,"['music-information-retrieval', 'live-coding', 'computer-music', 'markov-state-model', 'api-rest', 'big-data', 'art', 'machine-learning']",[Deprecated] py2.7 API.Cultor: Another BigData approach to sound collections,"bs4, colorama, librosa, matplotlib, numpy, pandas, pysoundfile, scikit-learn, scipy","['bs4', 'colorama', 'librosa', 'matplotlib', 'numpy', 'pandas', 'pysoundfile', 'scikit-learn', 'scipy', 'wget']",setup,12,2016,2022,"[Deprecated] py2.7 API.Cultor: Another BigData approach to sound collections  ['music-information-retrieval', 'live-coding', 'computer-music', 'markov-state-model', 'api-rest', 'big-data', 'art', 'machine-learning']"
27,"""artificial intelligence"" OR ""computer vision"" OR ""deep learning"" OR ""machine learning"" OR ""image recognition""",keras-rl/keras-rl,https://github.com/keras-rl/keras-rl,2016-07-02T15:53:12+00:00,2025-05-11T18:33:56+00:00,2023-09-17T12:33:41+00:00,Python,5552.0,1360.0,5552.0,49.0,FALSE,"['keras', 'tensorflow', 'theano', 'reinforcement-learning', 'neural-networks', 'machine-learning']",Deep Reinforcement Learning for Keras.,keras,['keras'],setup,10,2016,2025,"Deep Reinforcement Learning for Keras. ['keras', 'tensorflow', 'theano', 'reinforcement-learning', 'neural-networks', 'machine-learning']"
28,"""artificial intelligence"" OR ""computer vision"" OR ""deep learning"" OR ""machine learning"" OR ""image recognition""",thu-ml/zhusuan,https://github.com/thu-ml/zhusuan,2016-07-18T13:31:38+00:00,2025-05-13T03:37:29+00:00,2022-12-17T20:33:19+00:00,Python,2222.0,419.0,2222.0,13.0,FALSE,"['bayesian-inference', 'probabilistic-programming', 'graphical-models', 'generative-models', 'deep-learning']","A probabilistic programming library for Bayesian deep learning, generative models, based on Tensorflow","numpy, six","['numpy', 'six']",both,10,2016,2025,"A probabilistic programming library for Bayesian deep learning, generative models, based on Tensorflow ['bayesian-inference', 'probabilistic-programming', 'graphical-models', 'generative-models', 'deep-learning']"
29,"""artificial intelligence"" OR ""computer vision"" OR ""deep learning"" OR ""machine learning"" OR ""image recognition""",giulbia/baby_cry_detection,https://github.com/giulbia/baby_cry_detection,2016-07-31T13:24:39+00:00,2025-05-10T16:05:41+00:00,2023-08-27T12:01:32+00:00,Python,270.0,117.0,270.0,17.0,FALSE,[],Recognition of baby cry audio signal,"librosa, numpy","['librosa', 'numpy']",setup,14,2016,2025,Recognition of baby cry audio signal []
30,"""artificial intelligence"" OR ""computer vision"" OR ""deep learning"" OR ""machine learning"" OR ""image recognition""",scikit-learn-contrib/polylearn,https://github.com/scikit-learn-contrib/polylearn,2016-07-11T18:15:04+00:00,2024-07-20T00:15:50+00:00,2020-08-07T12:55:30+00:00,Python,245.0,43.0,245.0,9.0,FALSE,"['machine-learning', 'factorization-machines', 'polynomial-regression', 'polynomial-networks']",A library for factorization machines and polynomial networks for classification and regression in Python.,"scikit-learn, six","['scikit-learn', 'six']",setup,12,2016,2024,"A library for factorization machines and polynomial networks for classification and regression in Python. ['machine-learning', 'factorization-machines', 'polynomial-regression', 'polynomial-networks']"
31,"""artificial intelligence"" OR ""computer vision"" OR ""deep learning"" OR ""machine learning"" OR ""image recognition""",ArtificialIntelligenceToolkit/conx,https://github.com/ArtificialIntelligenceToolkit/conx,2016-07-10T20:46:06+00:00,2025-01-05T08:45:46+00:00,2024-02-25T03:13:42+00:00,Python,97.0,19.0,97.0,27.0,FALSE,"['keras', 'theano', 'tensorflow', 'python', 'neural-network', 'deep-learning', 'cntk']",The On-Ramp to Deep Learning,"cairosvg, h5py, ipython, ipywidgets, keras, matplotlib, numpy, pillow, pydot, requests, sklearn, tqdm","['cairosvg', 'h5py', 'ipython', 'ipywidgets', 'keras', 'matplotlib', 'numpy', 'pillow', 'pydot', 'requests', 'sklearn', 'svgwrite', 'tqdm']",both,10,2016,2025,"The On-Ramp to Deep Learning ['keras', 'theano', 'tensorflow', 'python', 'neural-network', 'deep-learning', 'cntk']"
32,"""artificial intelligence"" OR ""computer vision"" OR ""deep learning"" OR ""machine learning"" OR ""image recognition""",mayukh18/reco,https://github.com/mayukh18/reco,2016-07-27T12:21:46+00:00,2025-04-10T07:19:50+00:00,2023-06-15T04:08:45+00:00,Python,53.0,20.0,53.0,4.0,FALSE,"['recommender-system', 'collaborative-filtering', 'matrix-factorization', 'factorization-machines', 'wide-and-deep', 'svd-factorization', 'funksvd', 'movielens']",a simple yet versatile recommendation systems library in python,"numpy, pandas","['numpy', 'pandas']",setup,0,2016,2025,"a simple yet versatile recommendation systems library in python ['recommender-system', 'collaborative-filtering', 'matrix-factorization', 'factorization-machines', 'wide-and-deep', 'svd-factorization', 'funksvd', 'movielens']"
33,"""artificial intelligence"" OR ""computer vision"" OR ""deep learning"" OR ""machine learning"" OR ""image recognition""",natasha/natasha,https://github.com/natasha/natasha,2016-08-03T09:49:51+00:00,2025-05-20T10:06:35+00:00,2024-10-17T16:36:44+00:00,Python,1251.0,110.0,1251.0,29.0,FALSE,"['nlp', 'russian', 'tokenizer', 'sentence-segmentation', 'embeddings', 'morphology', 'syntax', 'ner', 'visualization', 'python']","Solves basic Russian NLP tasks, API for lower level Natasha projects","navec, pymorphy2, razdel, yargy","['ipymarkup', 'navec', 'pymorphy2', 'razdel', 'slovnet', 'yargy']",setup,6,2016,2025,"Solves basic Russian NLP tasks, API for lower level Natasha projects ['nlp', 'russian', 'tokenizer', 'sentence-segmentation', 'embeddings', 'morphology', 'syntax', 'ner', 'visualization', 'python']"
34,"""artificial intelligence"" OR ""computer vision"" OR ""deep learning"" OR ""machine learning"" OR ""image recognition""",anttttti/Wordbatch,https://github.com/anttttti/Wordbatch,2016-08-29T09:14:58+00:00,2024-11-12T02:48:47+00:00,2021-12-29T20:30:47+00:00,Python,414.0,60.0,414.0,13.0,FALSE,[],"Python library for distributed AI processing pipelines, using swappable scheduler backends.","cython, numpy, pandas, py-lz4framed, python-levenshtein, randomgen, scikit-learn, scipy, wheel","['cython', 'numpy', 'pandas', 'py-lz4framed', 'python-levenshtein', 'randomgen', 'scikit-learn', 'scipy', 'wheel']",setup,16,2016,2024,"Python library for distributed AI processing pipelines, using swappable scheduler backends. []"
35,"""artificial intelligence"" OR ""computer vision"" OR ""deep learning"" OR ""machine learning"" OR ""image recognition""",lacava/few,https://github.com/lacava/few,2016-08-10T19:42:44+00:00,2024-09-24T21:36:46+00:00,2020-06-11T13:39:13+00:00,Python,51.0,22.0,51.0,9.0,FALSE,[],a feature engineering wrapper for sklearn,"cython, eigency, joblib, numpy, pandas, scikit-learn, scipy, tqdm, update-checker","['cython', 'distanceclassifier', 'eigency', 'joblib', 'numpy', 'pandas', 'scikit-learn', 'scikit-mdr', 'scipy', 'tqdm', 'update-checker']",setup,0,2016,2024,a feature engineering wrapper for sklearn []
36,"""artificial intelligence"" OR ""computer vision"" OR ""deep learning"" OR ""machine learning"" OR ""image recognition""",codekansas/gandlf,https://github.com/codekansas/gandlf,2016-08-29T15:39:44+00:00,2025-05-17T11:52:26+00:00,2021-03-25T21:42:16+00:00,Python,46.0,8.0,46.0,4.0,FALSE,"['keras', 'generative-adversarial-network', 'gan']",Generative Adversarial Networks in Keras,keras,"['funcsigs', 'h5py', 'keras', 'mock', 'numpy', 'pbr', 'protobuf', 'pyyaml', 'scipy', 'six', 'tensorflow', 'theano']",both,10,2016,2025,"Generative Adversarial Networks in Keras ['keras', 'generative-adversarial-network', 'gan']"
37,"""artificial intelligence"" OR ""computer vision"" OR ""deep learning"" OR ""machine learning"" OR ""image recognition""",coursera/courseraresearchexports,https://github.com/coursera/courseraresearchexports,2016-08-24T15:49:11+00:00,2025-02-02T10:31:44+00:00,2023-02-16T01:44:20+00:00,Python,21.0,15.0,21.0,12.0,FALSE,[],Python library and tooling for Coursera Research Exports,"argcomplete, docker-py, psycopg2, python-dateutil, requests, sqlalchemy, tabulate, tqdm","['argcomplete', 'courseraoauth2client', 'docker-py', 'psycopg2', 'python-dateutil', 'requests', 'sqlalchemy', 'tabulate', 'tqdm']",setup,8,2016,2025,Python library and tooling for Coursera Research Exports []
38,"""artificial intelligence"" OR ""computer vision"" OR ""deep learning"" OR ""machine learning"" OR ""image recognition""",rpgomez/vomm,https://github.com/rpgomez/vomm,2016-08-07T01:30:25+00:00,2024-01-31T03:49:36+00:00,2020-07-16T03:51:52+00:00,Python,12.0,8.0,12.0,0.0,FALSE,[],Code for implementing variable order markov models in python.,"numpy, scipy","['numpy', 'scipy']",setup,0,2016,2024,Code for implementing variable order markov models in python. []
39,"""artificial intelligence"" OR ""computer vision"" OR ""deep learning"" OR ""machine learning"" OR ""image recognition""",issey173/DeepFramework,https://github.com/issey173/DeepFramework,2016-08-22T15:49:41+00:00,2020-08-25T03:19:05+00:00,2022-06-21T21:09:25+00:00,Python,10.0,2.0,10.0,3.0,FALSE,[],A python framework for Deep Learning projects,"h5py, numpy, six","['h5py', 'numpy', 'six']",both,10,2016,2020,A python framework for Deep Learning projects []
